Municipality of origin for majority of IDPs,Municipal section of origin for IDPs,District of origin for IDPs,IDPs counted
Delmas,5ème Saint Martin,Delmas 32 - Lakou New York - REMY,60
Port-au-Prince,8ème Martissant,Bas Martissant,60
Port-au-Prince,8ème Martissant,Bas Martissant,60
Pétion-Ville,4ème Bellevue la Montagne,Torcelle,55
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,52
Carrefour,10ème Thor,Mahotière,50
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,50
Port-au-Prince,8ème Martissant,Bas Martissant,50
Port-au-Prince,8ème Martissant,Fontamara Est,50
Port-au-Prince,8ème Martissant,Bas Martissant,50
Port-au-Prince,8ème Martissant,Grand Ravine,50
Port-au-Prince,8ème Martissant,Deslouis - Descayettes,50
Carrefour,10ème Thor,Bas Bizoton,48
Carrefour,9ème Bizoton,Fontamara Ouest,48
Pétion-Ville,4ème Bellevue la Montagne,Frères,45
Pétion-Ville,4ème Bellevue la Montagne,Pernier,45
Cité Soleil,1ère Varreux,Macaya,44
Cité Soleil,1ère Varreux,Sarthe,43
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,40
Port-au-Prince,6ème Turgeau,Christ-Roi - Nan Moise,40
Pétion-Ville,4ème Bellevue la Montagne,Metivier,32
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,30
Pétion-Ville,4ème Bellevue la Montagne,Metivier,26
Carrefour,10ème Thor,Cote-Plage,24
Carrefour,11ème Rivière Froide,Grande Ravine,24
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,23
Port-au-Prince,6ème Turgeau,Bel-air,23
Pétion-Ville,4ème Bellevue la Montagne,Pernier,22
Pétion-Ville,4ème Bellevue la Montagne,Meyotte,22
Port-au-Prince,8ème Martissant,Martissant - Cite Manigat,21
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,20
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,20
Port-au-Prince,8ème Martissant,Bas Martissant,20
Delmas,5ème Saint Martin,1ère Cite Saint Martin,19
Pétion-Ville,4ème Bellevue la Montagne,Chavannes Prolongee,16
Pétion-Ville,4ème Bellevue la Montagne,"Pernier, gros jean,metivier",15
Delmas,5ème Saint Martin,Delmas 5,15
Port-au-Prince,6ème Turgeau,Carrefour - Feuilles,15
Port-au-Prince,8ème Martissant,Bas Martissant,15
Croix-Des-Bouquets,3ème Petit Bois,Digneron,14
Pétion-Ville,4ème Bellevue la Montagne,Chavannes Prolongee,14
Tabarre,3ème Bellevue,Tabarre 27,13
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,12
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,12
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,12
Pétion-Ville,4ème Bellevue la Montagne,Frères,11
Cité Soleil,1ère Varreux,Terre-Noire - Blanchard,10
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,10
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Meyer - Dessources,10
Tabarre,3ème Bellevue,Tabarre 27,10
Tabarre,3ème Bellevue,Tabarre 27,10
Pétion-Ville,3ème Etang du Jong,Laboule,10
Pétion-Ville,4ème Bellevue la Montagne,Chavannes Prolongee,10
Pétion-Ville,4ème Bellevue la Montagne,Chavannes Prolongee,10
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,10
Croix-Des-Bouquets,3ème Petit Bois,Duval Ambroise,8
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,6
