Municipality of origin for majority of IDPs,Municipal section of origin for IDPs,District of origin for IDPs,IDPs counted
Pétion-Ville,3ème Etang du Jong,Laboule,10
Croix-Des-Bouquets,3ème Petit Bois,Duval Ambroise,1010
Croix-Des-Bouquets,3ème Petit Bois,Marassa - Santo - Djaboul,725
Croix-Des-Bouquets,3ème Petit Bois,Noilles,600
Croix-Des-Bouquets,3ème Petit Bois,Noilles,400
Croix-Des-Bouquets,3ème Petit Bois,Garnier - Diguer - Dorlène,200
Croix-Des-Bouquets,3ème Petit Bois,Cotta - Ferme Blanchard,120
Croix-Des-Bouquets,3ème Petit Bois,Bellanton,100
Croix-Des-Bouquets,3ème Petit Bois,Digneron,14
Croix-Des-Bouquets,3ème Petit Bois,Duval Ambroise,8
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,789
Pétion-Ville,4ème Bellevue la Montagne,Calbacher - Claire-Heureuse et Bois Source - Gros Jean,309
Pétion-Ville,4ème Bellevue la Montagne,Greffin,235
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,217
Pétion-Ville,4ème Bellevue la Montagne,Torcelle,180
Pétion-Ville,4ème Bellevue la Montagne,Frères,170
Pétion-Ville,4ème Bellevue la Montagne,Pernier,165
Pétion-Ville,4ème Bellevue la Montagne,Torcelle,108
Pétion-Ville,4ème Bellevue la Montagne,Girardeau,107
Pétion-Ville,4ème Bellevue la Montagne,Malick,100
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,100
Pétion-Ville,4ème Bellevue la Montagne,Chavannes Prolongee,100
Pétion-Ville,4ème Bellevue la Montagne,Metivier,100
Pétion-Ville,4ème Bellevue la Montagne,Frères,100
Pétion-Ville,4ème Bellevue la Montagne,Bois Greffin,100
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,80
Pétion-Ville,4ème Bellevue la Montagne,Chavannes Prolongee,80
Pétion-Ville,4ème Bellevue la Montagne,Torcelle,55
Pétion-Ville,4ème Bellevue la Montagne,Frères,45
Pétion-Ville,4ème Bellevue la Montagne,Pernier,45
Pétion-Ville,4ème Bellevue la Montagne,Metivier,32
Pétion-Ville,4ème Bellevue la Montagne,Metivier,26
Pétion-Ville,4ème Bellevue la Montagne,Pernier,22
Pétion-Ville,4ème Bellevue la Montagne,Meyotte,22
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,20
Pétion-Ville,4ème Bellevue la Montagne,Chavannes Prolongee,16
Pétion-Ville,4ème Bellevue la Montagne,"Pernier, gros jean,metivier",15
Pétion-Ville,4ème Bellevue la Montagne,Chavannes Prolongee,14
Pétion-Ville,4ème Bellevue la Montagne,Frères,11
Pétion-Ville,4ème Bellevue la Montagne,Chavannes Prolongee,10
Pétion-Ville,4ème Bellevue la Montagne,Chavannes Prolongee,10
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,10
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,6
Mirebalais,5ème Gascogne,,3500
Delmas,5ème Saint Martin,2ème Cite Saint Martin,6795
Delmas,5ème Saint Martin,Nazon,1500
Delmas,5ème Saint Martin,Carrefour Pean,1000
Delmas,5ème Saint Martin,Cite Numero 2,1000
Delmas,5ème Saint Martin,Delmas 34,625
Delmas,5ème Saint Martin,Delmas 33,250
Delmas,5ème Saint Martin,2ème Cite Saint Martin,155
Delmas,5ème Saint Martin,Delmas 30,115
Delmas,5ème Saint Martin,Delmas 2,104
Delmas,5ème Saint Martin,Carrefour Pean,75
Delmas,5ème Saint Martin,Delmas 32 - Lakou New York - REMY,60
Delmas,5ème Saint Martin,1ère Cite Saint Martin,19
Delmas,5ème Saint Martin,Delmas 5,15
Pétion-Ville,6ème Aux Cadets,Wi,415
Port-au-Prince,6ème Turgeau,Delmas 2 - Saint-Martin - Tokyo,10480
Port-au-Prince,6ème Turgeau,Village du Bicentenaire,4900
Port-au-Prince,6ème Turgeau,St Jean Bosco - Portail St Joseph,4250
Port-au-Prince,6ème Turgeau,Delmas 2 - Saint-Martin - Tokyo,2604
Port-au-Prince,6ème Turgeau,Delmas 2 - Saint-Martin - Tokyo,2500
